,title,rank,cluster,genre,year,foreign,language,country
3,Little Miss Sunshine,80.0,3,"['Adventure', 'Drama', 'Comedy']",2006,0,['English'],['USA']
0,The Diving Bell and the Butterfly,92.0,0,"['Biography', 'Drama']",2007,0,['French'],"['USA', 'France']"
3,Juno,81.0,3,"['Drama', 'Comedy']",2007,0,['English'],"['USA', 'Canada']"
0,Michael Clayton,82.0,0,"['Drama', 'Mystery', 'Thriller', 'Crime']",2007,0,['English'],['USA']
2,No Country for Old Men,91.0,2,"['Drama', 'Thriller', 'Crime', 'Western']",2007,0,"['English', 'Spanish']",['USA']
2,There Will Be Blood,93.0,2,"['Drama', 'Thriller']",2007,0,"['English', 'American Sign Language']",['USA']
1,The Counterfeiters,78.0,1,"['Drama', 'Crime', 'War']",2007,1,"['English', 'German', 'Russian', 'Hebrew']","['Germany', 'Austria']"
4,Katyn,81.0,4,"['Drama', 'History', 'War']",2007,1,"['German', 'Russian', 'Polish']",['Poland']
0,Mongol: The Rise of Genghis Khan,74.0,0,"['Biography', 'Drama', 'Romance', 'War']",2007,1,"['Mandarin', 'Mongolian']","['Russia', 'Germany', 'Kazakhstan', 'Mongolia']"
1,12,72.0,1,"['Drama', 'Thriller', 'Crime', 'War']",2007,1,"['Russian', 'Chechen']",['Russia']
3,Atonement,85.0,3,"['Drama', 'Mystery', 'Romance', 'War']",2007,0,"['English', 'French']","['UK', 'France']"
0,The Curious Case of Benjamin Button,70.0,0,"['Drama', 'Mystery', 'Fantasy', 'Romance']",2008,0,"['English', 'French', 'Russian']",['USA']
4,Milk,84.0,4,"['Biography', 'Drama']",2008,0,['English'],['USA']
0,The Reader,58.0,0,"['Drama', 'Romance']",2008,0,"['English', 'German', 'Latin', 'Greek']","['USA', 'Germany']"
0,Slumdog Millionaire,84.0,0,"['Drama', 'Romance']",2008,0,"['English', 'French', 'Hindi']",['UK']
1,The Baader Meinhof Complex,76.0,1,"['Action', 'Biography', 'Drama', 'History', 'Crime']",2008,1,"['English', 'German', 'French', 'Swedish']","['Germany', 'Czech Republic', 'France']"
0,The Class,92.0,0,['Drama'],2008,1,"['French', 'Spanish', 'Bambara']",['France']
2,Departures,68.0,2,"['Drama', 'Comedy', 'Music']",2008,1,['Japanese'],['Japan']
2,Revanche,84.0,2,"['Drama', 'Thriller', 'Romance', 'Crime']",2008,1,"['German', 'Russian']",['Austria']
3,Waltz with Bashir,91.0,3,"['Biography', 'Drama', 'War', 'Animation']",2008,1,"['English', 'German', 'Arabic', 'Hebrew']","['USA', 'Germany', 'Finland', 'France', 'Israel', 'Australia', 'Belgium', 'Switzerland']"
4,Avatar,83.0,4,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']",2009,0,"['English', 'Spanish']",['USA']
0,The Hurt Locker,95.0,0,"['Action', 'Drama', 'Thriller', 'War']",2009,0,"['English', 'Arabic', 'Turkish']",['USA']
1,Inglourious Basterds,69.0,1,"['Drama', 'Thriller', 'War']",2009,0,"['English', 'German', 'French', 'Italian']","['USA', 'Germany']"
3,Up in the Air,83.0,3,"['Drama', 'Romance']",2009,0,['English'],['USA']
3,Ajami,82.0,3,['Drama'],2009,1,"['Arabic', 'Hebrew']","['Germany', 'Israel']"
0,The Milk of Sorrow,68.0,0,"['Drama', 'Music']",2009,1,"['Spanish', 'Quechua']","['Peru', 'Spain']"
1,A Prophet,90.0,1,"['Drama', 'Crime']",2009,1,"['French', 'Arabic', 'Corsican']","['France', 'Italy']"
4,The White Ribbon,82.0,4,"['Drama', 'Mystery', 'Crime']",2009,1,"['German', 'Italian', 'Polish', 'Latin']","['Germany', 'France', 'Italy', 'Austria']"
4,The Blind Side,53.0,4,"['Biography', 'Drama', 'Sport']",2009,0,['English'],['USA']
4,District 9,81.0,4,"['Action', 'Sci-Fi', 'Thriller']",2009,0,"['English', 'Nyanja', 'Afrikaans', 'Xhosa', 'Zulu', 'Sotho']","['USA', 'New Zealand']"
0,An Education,85.0,0,['Drama'],2009,0,"['English', 'French']",['UK']
0,A Serious Man,83.0,0,['Drama'],2009,0,"['English', 'Yiddish', 'Hebrew']","['USA', 'UK', 'France']"
3,Up,88.0,3,"['Adventure', 'Drama', 'Comedy', 'Animation', 'Family']",2009,0,['English'],['USA']
3,Black Swan,79.0,3,"['Drama', 'Thriller']",2010,0,['English'],['USA']
0,The Fighter,79.0,0,"['Drama', 'Sport']",2010,0,['English'],['USA']
1,The King's Speech,88.0,1,"['Drama', 'History']",2010,0,['English'],"['UK', 'Australia']"
3,The Social Network,95.0,3,"['Biography', 'Drama', 'History', 'Comedy']",2010,0,"['English', 'French']",['USA']
0,True Grit,80.0,0,"['Drama', 'Western']",2010,0,['English'],['USA']
1,Biutiful,58.0,1,['Drama'],2010,1,"['English', 'Spanish']","['Spain', 'Mexico']"
0,Dogtooth,73.0,0,['Drama'],2010,1,['Greek'],['Greece']
2,In a Better World,65.0,2,['Drama'],2010,1,"['English', 'Danish', 'Swedish']","['Denmark', 'Sweden']"
4,Incendies,80.0,4,['Drama'],2010,1,"['French', 'Arabic']","['France', 'Canada']"
0,Inception,74.0,0,"['Action', 'Sci-Fi', 'Drama', 'Mystery', 'Thriller']",2010,0,"['English', 'French', 'Japanese']","['USA', 'UK']"
4,The Kids Are All Right,86.0,4,"['Drama', 'Comedy']",2010,0,['English'],['USA']
3,127 Hours,82.0,3,"['Adventure', 'Biography', 'Drama', 'Thriller']",2010,0,['English'],"['USA', 'UK']"
2,Toy Story 3,92.0,2,"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']",2010,0,"['English', 'Spanish']",['USA']
4,Winter's Bone,90.0,4,"['Drama', 'Thriller']",2010,0,['English'],['USA']
0,The Artist,89.0,0,['Romance'],2011,0,['English'],['France']
2,The Descendants,84.0,2,"['Drama', 'Comedy']",2011,0,,['USA']
0,Hugo ,83.0,0,"['Mystery', 'Family']",2011,0,,['USA']
0,Midnight in Paris,81.0,0,"['Comedy', 'Romance']",2011,0,['English'],"['USA', 'Spain']"
3,The Tree of Life,85.0,3,"['Drama', 'Fantasy']",2011,0,['English'],['USA']
0,Bullhead,68.0,0,"['Drama', 'Crime']",2011,1,"['French', 'Dutch', 'Flemish']",['Belgium']
1,Footnote,83.0,1,['Drama'],2011,1,['Hebrew'],['Israel']
2,In Darkness,74.0,2,['Drama'],2011,1,"['German', 'Polish', 'Yiddish', 'Ukrainian']","['Germany', 'Poland']"
0,Monsieur Lazhar,82.0,0,"['Drama', 'Comedy']",2011,1,"['English', 'French', 'Arabic']",['Canada']
4,A Separation,95.0,4,['Drama'],2011,1,['Persian'],['Iran']
3,The Help,62.0,3,['Drama'],2011,0,,
0,Moneyball,87.0,0,['Drama'],2011,0,,
3,War Horse,72.0,3,['War'],2011,0,['English'],"['USA', 'UK']"
2,Amour,94.0,2,"['Drama', 'Romance']",2012,0,"['English', 'French']","['Germany', 'France', 'Austria']"
4,Beasts of the Southern Wild,86.0,4,"['Drama', 'Fantasy']",2012,0,['English'],['USA']
0,Life of Pi,79.0,0,"['Adventure', 'Drama']",2012,0,"['English', 'French', 'Tamil']","['USA', 'China', 'Taiwan']"
4,Lincoln,86.0,4,"['Biography', 'Drama', 'History', 'War']",2012,0,['English'],"['USA', 'India']"
2,Silver Linings Playbook,81.0,2,"['Drama', 'Comedy', 'Romance']",2012,0,['English'],['USA']
3,Kon-Tiki,62.0,3,"['Action', 'Adventure', 'Biography', 'Drama', 'History']",2012,1,"['English', 'French', 'Swedish', 'Norwegian']","['Germany', 'UK', 'Norway', 'Denmark', 'Sweden']"
0,A Royal Affair,73.0,0,"['Drama', 'History', 'Romance']",2012,1,"['English', 'German', 'French', 'Danish']","['Czech Republic', 'Denmark', 'Sweden']"
1,War Witch,84.0,1,"['Drama', 'War']",2012,1,"['French', 'Lingala']",['Canada']
1,Argo,86.0,1,['Drama'],2012,0,,['USA']
2,Django Unchained,81.0,2,"['Action', 'Adventure', 'Drama', 'Crime', 'Western']",2012,0,"['English', 'German', 'French']",['USA']
0,Zero Dark Thirty,95.0,0,"['Action', 'Drama', 'History', 'Thriller']",2012,0,"['English', 'Arabic']",['USA']
0,American Hustle,90.0,0,"['Drama', 'History', 'Thriller', 'Crime']",2013,0,"['English', 'Arabic']",['USA']
4,Gravity,96.0,4,"['Sci-Fi', 'Drama', 'Mystery', 'Thriller']",2013,0,"['English', 'Spanish', 'Greenlandic']","['USA', 'UK']"
3,Nebraska,87.0,3,"['Adventure', 'Drama']",2013,0,"['English', 'Spanish']",['USA']
0,12 Years a Slave,96.0,0,"['Biography', 'Drama', 'History']",2013,0,['English'],"['USA', 'UK']"
0,The Wolf of Wall Street,75.0,0,"['Biography', 'Drama', 'Comedy', 'Crime']",2013,0,"['English', 'French']",['USA']
2,The Broken Circle Breakdown,70.0,2,"['Drama', 'Romance', 'Music']",2013,1,"['English', 'Flemish']","['Netherlands', 'Belgium']"
2,The Great Beauty,86.0,2,"['Drama', 'Comedy']",2013,1,"['Spanish', 'Chinese', 'Italian', 'Japanese']","['France', 'Italy']"
0,The Missing Picture,87.0,0,['Documentary'],2013,1,['French'],"['France', 'Cambodia']"
0,Omar,75.0,0,"['Drama', 'Thriller']",2013,1,"['Arabic', 'Hebrew']",['Occupied Palestinian Territory']
1,Captain Phillips,82.0,1,"['Action', 'Adventure', 'Biography', 'Drama', 'Thriller', 'Crime']",2013,0,"['English', 'Somali']",['USA']
